id,category,score,status,dealer,url,price_usd,condition,city_state,year,model,finish,serial,weight_lbs,nut_width_in,fret1_depth_in,fret12_depth_in,neck_profile,shoulder_description,fingerboard_radius,pickups,case_included,modifications,measurements_source,date_discovered,last_confirmed_active
g044,les_paul,92.1,ACTIVE,Willcutt Guitars,https://willcuttguitars.com/products/gibson-les-paul-standard-60s-figured-top-unburst-089-lps600ubnh1-209960089,2799,New,"Lexington, KY",,Gibson Les Paul Standard 60s Figured Top,Unburst,209960089,9.02,1.69,0.8,0.91,60s SlimTaper,SlimTaper; dealer-measured .80-.91 squarely in target windows,"12""",Burstbucker 61R / 61T,Hardshell case included,,dealer measured,2026-07-19,2026-08-09
g040,les_paul,91.7,ACTIVE,Wildwood Guitars,https://wildwoodguitars.com/products/wwgb01237-2020-historic-60th-anniversary-1960-les-paul-standard-vos,5450,"Used (pre-owned, tagged Used by dealer)","Louisville, CO",2020,Gibson Custom Shop 60th Anniversary 1960 Les Paul Standard V2 Reissue VOS,Tomato Soup Burst,01237,8.98,1.687,0.79,0.92,1960 V2 Medium C / SlimTaper,V2 slim carve; .790/.920 lands exactly in the 0.79-0.82 / 0.89-0.92 target windows,"12""",2 Unpotted Alnico III Custombuckers,Gibson Custom hardshell ('Candy' case),,dealer measured,2026-07-19,2026-08-09
g042,les_paul,91.5,ACTIVE,Willcutt Guitars,https://willcuttguitars.com/products/gibson-custom-shop-1960-les-paul-standard-v2-neck-washed-cherry-sunburst-murphy-lab-light-aged-672,8199,New,"Lexington, KY",,"Gibson Custom Shop 1960 Les Paul Standard Reissue V2 Neck, Murphy Lab Light Aged",Washed Cherry Sunburst,01672,8.82,1.69,,,1960 V2 SlimTaper,Fast-playing slim '60 V2 carve per Gibson spec; individual depths not published,"12""",Custombucker Alnico 3 (unpotted),Brown/Pink Lifton reissue hardshell,,dealer measured,2026-07-19,2026-08-09
g338,les_paul,91.3,ACTIVE,Tone House,https://reverb.com/item/100150178-2022-gibson-les-paul-standard-60s-bourbon-burst-usa-w-case-mint-w-extras,2399.99,Excellent (described as mint),"West Babylon, NY",2022,Gibson Les Paul Standard '60s (AA figured top),Bourbon Burst,,8.88,1.695,,,SlimTaper '60s,,,Gibson 60s Burstbuckers,Gibson hardshell case + strap + Sweetwater inspection cards + model card,"none - Plek'd from factory, professionally set up",,2026-08-09,2026-08-09
g043,les_paul,91.2,ACTIVE,Willcutt Guitars,https://willcuttguitars.com/products/gibson-59-les-paul-standard-slow-iced-tea-fade-vos-nh-024-lpr59psl21172-943024,6699,New,"Lexington, KY",,Gibson Custom Shop 1959 Les Paul Standard Reissue VOS,Slow Iced Tea Fade,943024,8.67,1.69,,,Authentic '59 Medium C-Shape,"Fuller '59 shoulders, not SlimTaper - reported as close-match on weight/finish","12""",Custombucker Alnico 3 (unpotted),Custom Shop hardshell,,dealer measured,2026-07-19,2026-08-09
g231,les_paul,91.1,ACTIVE,Fuller's Guitar,https://reverb.com/item/91367566-gibson-murphy-lab-59-les-paul-standard-tomato-soup-burst-heavy-aged-fuller-s-exclusive,9199.0,Brand New,,,Murphy Lab '59 Les Paul Standard Tomato Soup Burst Heavy Aged...,Tomato Soup Burst,922055,8.75,1.69,,,Medium C,,,Custombucker,True,,,2026-07-30,2026-08-09
g242,les_paul,91.1,ACTIVE,Fuller's Guitar,https://reverb.com/item/88430527-gibson-murphy-lab-59-les-paul-standard-tomato-soup-burst-heavy-aged-fuller-s-exclusive,9199.0,Brand New,,,Murphy Lab '59 Les Paul Standard Tomato Soup Burst Heavy Aged...,Tomato Soup Burst,93138,8.375,1.69,,,Medium C,,,Custombucker,True,,,2026-07-30,2026-08-09
g244,les_paul,91.1,ACTIVE,Fuller's Guitar,https://reverb.com/item/88277742-gibson-murphy-lab-59-les-paul-standard-tomato-soup-burst-heavy-aged-fuller-s-exclusive,9199.0,Brand New,,,Murphy Lab '59 Les Paul Standard Tomato Soup Burst Heavy Aged...,Tomato Soup Burst,922078,8.5,1.69,,,Medium C,,,Custombucker,True,,,2026-07-30,2026-08-09
g068,es_335,91.0,ACTIVE,Reverb – The Music Emporium,https://reverb.com/item/98285616-gibson-es-335td-cherry-sunburst-1972,5000,Very Good,"Lexington, MA",1972,Gibson ES-335TD,Cherry Sunburst (heavily faded to iced-tea),745730,7.875,1.5625,0.8,0.95,Slim Taper C,,"12""",Original Pat # T-Tops,Original hardshell case,"None - all original throughout, original nut",dealer measured,2026-07-19,2026-08-09
g092,les_paul,90.8,ACTIVE,Reverb – Tone Shop Guitars,https://reverb.com/item/96489873-gibson-custom-1960-les-paul-standard-reissue-vos-iced-tea-burst-w-case-05391,6699,Brand New,"Addison, TX",2025,Gibson Custom Shop 1960 Les Paul Standard Reissue VOS (R0),Iced Tea Burst VOS,05391,8.31,1.687,,,60s SlimTaper,Fast-playing slim 1960 carve per dealer,"12""","Custombucker Alnico III unpotted, hand-wired harness with Bumblebee caps",Gibson Custom Shop hardshell case + COA,None (new),dealer measured,2026-07-21,2026-08-09
g002,les_paul,90.7,ACTIVE,Reverb – Cliff's Guitar World,https://reverb.com/item/97541902-1997-gibson-historic-les-paul-1960-re-issue-r0,7500,Excellent,"Bremerton, WA",1997,Gibson Historic 1960 Les Paul Reissue (R0),"Heritage Cherry Sunburst (nitro), AAAAA soft maple top",,8.5,1.6875,0.81,0.87,"1960 SlimTaper, shallow C",Shallow 'C' shape slim taper — thinnest 12th-fret depth in this group (.87),"12""",Gibson '57 Classic humbuckers,Early Gibson Custom Shop black hardshell case,None stated; all appears original,dealer measured,2026-07-19,2026-08-09
g129,les_paul,90.6,ACTIVE,Reverb – EGA Guitars,https://reverb.com/item/99677051-gibson-limited-edition-les-paul-standard-60s-triburst,2349.99,Used - Excellent,"St Paul, TX",2023,Gibson Les Paul Standard 60s Limited Edition (figured AA top),Triburst,,8.9,1.69,,,SlimTaper,"Factory 60s SlimTaper, fast/slim shoulders","12""","Custom BurstBucker set, handwired with Orange Drop caps",True,None noted; fresh setup by shop,dealer measured,2026-07-26,2026-08-09
g079,les_paul,89.8,ACTIVE,Reverb – Wildwood Guitars,https://reverb.com/item/92670044-gibson-custom-shop-wildwood-spec-1960-les-paul-standard-gloss,7349,Brand New,"Louisville, CO",2025,Gibson Custom Shop Wildwood Spec 1960 Les Paul Standard (Gloss),Bourbon Burst,Wildwood SKU 05463,8.41,1.687,0.82,0.95,1960 Slim Taper C (V2),Slim-but-not-thin 1960 SlimTaper C carve,"12""",Wildwood Spec Custombuckers (unpotted),Brown/pink Lifton reissue case with Wildwood Spec badge + COA,"None (new, factory original)",dealer measured,2026-07-20,2026-08-09
g299,les_paul,89.6,SOLD,Santas Fancy Guitars (Reverb),https://reverb.com/item/99906507-8-5-lb-gibson-custom-shop-60-les-paul-60th-anniversary-2020-lemon-orange-fade-vos-_-v2_-r0-60-historic-reissue,4895,"Very Good (a couple of bumps noted, 100% factory original)",,2020,Gibson Custom Shop 60th Anniversary 1960 Les Paul Standard Reissue (R0) V2,Lemon Orange Fade VOS,,8.5,,0.81,0.93,V2 '60 slim C (between chunky '59 and ultra-slim taper; buyer's top carve is V3 Skinny C — this is one step chunkier),,,"Custombuckers, original",True,None; all paperwork included; ships in a black 2000s Custom Shop case (not the anniversary case),,2026-07-31,2026-07-31
g069,es_335,89.4,ACTIVE,Reverb – Guitar Maniacs,https://reverb.com/item/99233772-1974-gibson-es-335tdc-cherry,5995,Very Good,"Tacoma, WA",1974,Gibson ES-335TDC,Cherry,,7.56,1.5625,0.8,0.97,Medium slim-taper C,,"12""",Original patent-sticker humbuckers,Original hardshell case,None known - all original per seller,dealer measured,2026-07-19,2026-08-09
g024,les_paul,89.2,ACTIVE,Dave's Guitar Shop,https://davesguitar.com/products/1960-les-paul-standard-reissue-washed-cherry-sunburst-3,6699,New,"La Crosse, WI",,Gibson Custom Shop 1960 Les Paul Standard Reissue (R0),Washed Cherry Sunburst (VOS),,8.6,1.69,0.83,0.94,60s SlimTaper,,"12""",Unpotted Custombucker Alnico III (neck & bridge),True,,dealer measured,2026-07-19,2026-08-09
g330,les_paul,89.2,ACTIVE,Wildwood Guitars,https://reverb.com/item/100238805-gibson-custom-shop-wildwood-spec-1960-les-paul-standard-gloss,7349.0,Brand New,"Louisville, CO",,Gibson Custom Shop Wildwood Spec 1960 Les Paul Standard - Gloss,Slow Iced Tea Fade,,8.83,1.687,0.82,0.95,"1960 Slim Taper C, V2",,,Wildwood Spec Custombuckers,Brown/Pink Lifton Reissue with Wildwood Spec badge,none (new),,2026-08-09,2026-08-09
g339,les_paul,89.0,ACTIVE,DIABLO GUITARS - AXES OF EVIL!,https://reverb.com/item/94339212-gibson-mod-collection-les-paul-standard-60s-flame-maple-top-dark-ruby-2024-w-ohsc,2999.99,Very Good,"Renton, WA",2024,"Gibson Mod Collection Les Paul Standard '60s, Flame Maple Top",Dark Ruby,220540214,8.75,1.71,0.817,0.933,Slim Taper,,,Gibson Rhythm 61 (neck) / Lead 61 (bridge),Original hardshell case + COA + original case candy,"none by owner; wear: headstock clip-on tuner indentations, tuner plating wear, belt rash, finish splits under hardware screws",,2026-08-09,2026-08-09
g055,les_paul,88.9,ACTIVE,Carter Vintage Guitars,https://cartervintage.com/shop/gibson-custom-chicago-music-exchange-spec-60-les-paul-standard-2021-cherry-sunburst/2rfhR5XzFNPHKwyTVhGzy5qmEMn,4950,Used - very good; professionally repaired headstock crack,"Nashville, TN",2021,Gibson Custom Shop CME-Spec '60 Les Paul Standard,Cherry Sunburst,,8.4,1.682,0.843,0.907,C (60-spec),Slimmer 1960-spec carve with shallow 12th-fret taper (0.907),"12""",Original Gibson Custom humbuckers (7.2k / 7.1k),OHSC,Headstock crack repair (professional),dealer measured,2026-07-19,2026-08-09
g001,les_paul,88.6,SOLD,Reverb – Vintage Voltage Guitars,https://reverb.com/item/99179073-2007-gibson-custom-shop-r0-1960-les-paul-standard-reissue-faded-lemon-burst-flame-top-with-custombuckers,4159.59,Very Good,"Duluth, GA",2007,Custom Shop 1960 Les Paul Standard Reissue (R0),Faded Lemon Burst (aged to honey-gold),,8.63,,0.83,0.91,1960 slim R0 profile,"Dealer: 'not too thin, perfect slim profile R0 neck' — fast and comfortable","12""",2022 Gibson Custom Shop Custombuckers (originals not mentioned as included),Original 2007 Gibson Lifton Custom Shop hardshell case + original parts,"Custombucker pickups, Historic butyrate rings/knobs/pickguard, Faber ABR-1, Historic aluminum tailpiece, Luxe Bumblebee caps, Kluson Historic tuners, hand-aged nickel hardware",dealer measured,2026-07-19,2026-07-20
g246,les_paul,88.4,ACTIVE,Fuller's Guitar,https://reverb.com/item/87824154-gibson-murphy-lab-59-les-paul-standard-tomato-soup-burst-heavy-aged-fuller-s-exclusive,9199.0,Brand New,,,Murphy Lab '59 Les Paul Standard Tomato Soup Burst Heavy Aged...,Tomato Soup Burst,922463,8.938,1.69,,,Medium C,,,Custombucker,True,,,2026-07-30,2026-08-09
g248,les_paul,88.4,ACTIVE,Fuller's Guitar,https://reverb.com/item/87540208-gibson-murphy-lab-59-les-paul-standard-tomato-soup-burst-heavy-aged-fuller-s-exclusive,9199.0,Brand New,,,Murphy Lab '59 Les Paul Standard Tomato Soup Burst Heavy Aged...,Tomato Soup Burst,922160,8.938,1.69,,,Medium C,,,Custombucker,True,,,2026-07-30,2026-08-09
g137,les_paul,87.7,PRICE DROP,Reverb – ARACOM Guitars & Amplifiers,https://reverb.com/item/99812797-gibson-les-paul-1960-r0-custom-shop-2010-8-25-lbs-historic-reissue,4960.0,"Excellent (sold as-is, no returns)","Morgan Hill, CA",2010,"Gibson Custom Shop 1960 Les Paul Standard Reissue (R0), VOS",Flame maple sunburst (VOS),,8.24,1.69,0.83,0.94,1960 (seller believes V2 medium),"Not too thick, not too thin per seller","12""","Burstbucker 1 & 2, CTS pots, Switchcraft toggle",Original Gibson hardshell + COA + literature,Russian PIO capacitors added,dealer measured,2026-07-29,2026-08-09
g039,les_paul,87.5,ACTIVE,Wildwood Guitars,https://wildwoodguitars.com/products/gibson-custom-shop-1960-les-paul-standard,7349,New,"Louisville, CO",,Gibson Custom Shop Wildwood Spec 1960 Les Paul Standard Reissue (VOS),Slow Iced Tea Fade,05546,8.58,1.687,0.84,0.93,1960 Wildwood Spec,"1960-style carve, slightly fuller than target (.840/.930)","12""",Wildwood Spec Custombuckers (unpotted),Brown/Pink Lifton reissue hardshell,,dealer measured,2026-07-19,2026-08-09
g316,les_paul,87.5,ACTIVE,Reverb private seller (bobs-boutique-421),https://reverb.com/item/100067356-gibson-custom-shop-wildwood-spec-60-les-paul-standard-v2-neck-murphy-painted-tom-s-tea-gloss-nh-81-91-8-38lbs,7800,Excellent (near mint),,2022,"Gibson Custom Shop Wildwood Spec 1960 Les Paul Standard (Murphy Painted, Gloss, NH)",Tom's Tea,,8.38,,0.81,0.91,Wildwood V2,,,"Wildwood Spec (stock, unspecified in listing)",,None stated,,2026-08-04,2026-08-09
g094,les_paul,87.2,SOLD,Reverb – Dwight's Gear Outlet (private seller),https://reverb.com/item/94872909-gibson-custom-shop-wildwood-spec-1960-les-paul-standard,4799,"Excellent (basically mint, second owner via Carter Vintage)","Louisville, KY",2022,Gibson Custom Shop Wildwood Spec 1960 Les Paul Standard,Kindred Burst (gloss),,8.31,1.687,0.83,0.95,1960 Slim Taper C V2,V2 slim C - between '59 and ultra-slim '60 per Wildwood spec copy,"12""","Wildwood Spec Custombuckers, CTS 500K pots, paper-in-oil caps",Brown/Pink Lifton Reissue case with Wildwood Spec badge,None noted,dealer measured,2026-07-21,2026-07-30
g008,les_paul,87.2,ACTIVE,Reverb – Guitar Riot,https://reverb.com/item/94883487-gibson-custom-shop-1960-les-paul-standard-reissue-vos-tangerine-burst-05278-2025,5399,Excellent,"Cleveland, OH",2025,Custom Shop 1960 Les Paul Standard Reissue VOS,Tangerine Burst,0 5278,8.25,1.687,0.83,0.94,60s SlimTaper,SlimTaper with a bit more meat than spec at both stations (.83/.94),"12""",Custombuckers (stock),Yes (Custom Shop case),None stated,dealer measured,2026-07-19,2026-08-09
g054,les_paul,87.2,ACTIVE,Carter Vintage Guitars,https://cartervintage.com/shop/gibson-60-les-paul-standard-reissue-vos-2025-washed-cherry-sunburst/31bvJ1wYn0hUTJMrjtHyiUe1Qal,5975.0,New (VOS),"Nashville, TN",2025,Gibson Custom Shop 1960 Les Paul Standard Reissue VOS,Washed Cherry Sunburst,,8.2,1.687,0.816,0.954,60s SlimTaper,"Fast-playing slim 1960 carve, 1-piece lightweight mahogany body with hide-glue fit","12""",Custombucker Alnico III unpotted (7.9k neck / 7.9k bridge),Brown/Pink Lifton Reissue 5-latch case,None (new),dealer measured,2026-07-19,2026-08-09
g076,es_335,86.9,ACTIVE,Reverb – Imperial Vintage Guitars,https://reverb.com/item/94378831-1972-gibson-es-335td-walnut-finish-w-ohsc,5995,Excellent,"Sherman Oaks, CA",1972,Gibson ES-335TD,Walnut,,7.56,1.5625,0.77,1.0,Slim mahogany neck,,,"Original Pat No. T-Top humbuckers, original electronics",Original hardshell case,"Reproduction tuners, custom half-brass nut, Gibson replacement harmonica bridge (original TOM included), small hairline fracture on back, engraved truss rod cover",dealer measured,2026-07-19,2026-08-09
g078,es_335,86.5,ACTIVE,Reverb – Lovies Guitars,https://reverb.com/item/99414319,2895,"Excellent - 'exceptionally clean', all original","Thousand Oaks, CA",2025,"Gibson ES-335 (Block inlay, Gibson USA)",Sunburst Gloss,215550086,7.6,1.6875,0.78,0.92,Rounded C (this example measures slim: .780 first fret),"Slim end of Gibson USA Rounded C - .780/.920 taper, genuinely fast for a modern 335",,Calibrated T-Type humbuckers,Original Gibson hardshell case,None - all original,dealer measured,2026-07-20,2026-08-09
g095,es_335,86.0,ACTIVE,Reverb – Diablo Guitars,https://reverb.com/item/98428382-gibson-es-335td-sunburst-1974-w-ohsc,5499.99,"Good (player-grade: finish checking, wear-through on neck/headstock, dings)","Renton, WA",1974,Gibson ES-335TD,Sunburst,182568,7.375,1.572,0.771,0.986,Slim Taper,Slim taper per dealer spec sheet; 1st-fret .771 squarely in target slim range,"12""","Original Gibson Patent Number humbuckers (T-Top era), neck 7.89k / bridge 7.37k; CTS pots dated 1973",Original purple-interior hardshell case (replaced handle),"Refret (22 medium jumbo), new bone nut, converted from vibrato to Faber ABR-1 + stop tail, aftermarket strap buttons",dealer measured,2026-07-21,2026-08-09
g066,les_paul,85.9,ACTIVE,Empire Music,https://empiremusic.com/products/gibson-custom-shop-1959-les-paul-standard-murphy-lab-ultra-light-aged-sunrise-teaburst-61132,7199,New (Murphy Lab Ultra Light Aged),"Mt. Lebanon (Pittsburgh), PA",2026,Gibson Custom Shop 1959 Les Paul Standard Reissue Murphy Lab ULA (R9),"Sunrise Teaburst, Murphy Lab aged nitro",961132,8.63,1.69,,,'50s Rounded Medium C,Rounded medium C - fuller than the SlimTaper target,"12""","Custombucker Alnico 3, paper-in-oil caps",Case + COA (Custom Shop accessories),None,dealer measured,2026-07-19,2026-08-09
g247,les_paul,85.7,ACTIVE,Electric Ice Cream,https://reverb.com/item/87804027-gibson-custom-shop-60th-anniversary-60-les-paul-standard-reissue-v2-2020-orange-lemon-fade,6200.0,Mint,,2020,Custom Shop 60th Anniversary '60 Les Paul Standard Reissue V2,Orange Lemon Fade,,8.562,1.69,,,V1,,,Custombucker,True,,,2026-07-30,2026-08-09
g010,les_paul,85.3,SOLD,Reverb – Imperial Vintage Guitars,https://reverb.com/item/98820777-8-5-lbs-1989-gibson-les-paul-standard-2-piece-flame-top-cherry-sunburst-w-ohsc,4895,Excellent,"Burbank, CA (San Diego brick-and-mortar)",1989,"Les Paul Standard ('Good Wood era'), rare 2-piece flame top",Cherry Sunburst,,8.5,1.68,0.82,0.96,"Late-80s Standard carve, slim at the nut",Slim first-position feel (.82) but substantial 12th-fret depth (.96),,"Currently Sayoko Kuwabara custom-wound double-cream PAF set (A2 neck/A5 bridge, unpotted); original HB-R/HB-L included, dealer will reinstall on request",Original Gibson 'chainsaw' case and paperwork,"Pickups, TonePros bridge/tailpiece (originals included), 2 newer CTS volume pots",dealer measured,2026-07-19,2026-08-04
g009,les_paul,84.9,ACTIVE,Reverb – Wildwood Guitars,https://reverb.com/item/97840293-gibson-custom-shop-wildwood-spec-1960-les-paul-standard-ultra-light-aged,7899,Brand New,"Louisville, CO",,"Custom Shop Murphy Lab Wildwood Spec 1960 Les Paul Standard, Ultra Light Aged",Vintage Cherry Sunburst (Murphy Lab ULA),,8.17,1.687,0.83,0.94,1960 SlimTaper C V2,"Wildwood-spec V2 SlimTaper C, .830-.940","12""",2 Wildwood Spec Custombuckers,"Yes (Custom Shop case, standard for Wildwood Spec)",None; new,dealer measured,2026-07-19,2026-08-09
g014,es_335,84.5,EXCLUDED,Reverb – In Bloom Guitars,https://reverb.com/item/98163808-1973-gibson-es-335-custom-colour-factory-black-w-bigsby-mod-t-tops-ohsc-rare,6535.1,Excellent,"Leeds, United Kingdom",1973,Gibson ES-335 (custom colour),Factory Black,,7.8,1.5625,0.83,0.978,Substantial yet very playable (seller's words),Fuller than slim-C ideal — .830 in at 1st fret,,"Original T-Top Patent No. humbuckers, untouched wiring harness",Original hardshell case (original trapeze tailpiece included),"Bigsby added (mod), professional refret",dealer measured,2026-07-19,2026-07-19
g080,les_paul,84.4,ACTIVE,Reverb – Wildwood Guitars,https://reverb.com/item/92356486-gibson-custom-shop-wildwood-spec-1960-les-paul-standard-gloss,7349,Brand New,"Louisville, CO",2025,Gibson Custom Shop Wildwood Spec 1960 Les Paul Standard (Gloss),Slow Iced Tea Fade,Wildwood SKU 05302,8.72,1.687,0.83,0.96,1960 Slim Taper V2,"1960 SlimTaper V2 carve, marginally fuller than target at .830 1st fret","12""",Wildwood Spec Custombuckers (unpotted),Brown/pink Lifton reissue case with Wildwood Spec badge + COA,"None (new, factory original)",dealer measured,2026-07-20,2026-08-09
g300,les_paul,84.4,ACTIVE,Dave's Guitar Shop,https://reverb.com/item/99870650-gibson-custom-shop-1960-les-paul-standard-reissue-tangerine-burst,6699,Brand New,"La Crosse, WI",2026,Gibson Custom Shop 1960 Les Paul Standard Reissue VOS,Tangerine Burst,,8.4,1.69,0.83,0.96,60s Slim Taper,,,Unpotted Custombucker Alnico III bridge and neck,True,None - brand new,,2026-07-31,2026-08-09
